[23-Nov-2011 15:11:46] PHP  11. PHPUnit_Framework_TestCase->runTest() /usr/local/zend/share/pear/PHPUnit/Framework/TestCase.php:780
[23-Nov-2011 15:11:46] PHP  12. ReflectionMethod->invokeArgs() /usr/local/zend/share/pear/PHPUnit/Framework/TestCase.php:918
[23-Nov-2011 15:11:46] PHP  13. BlogTest->testThatFindCategoryMethodShouldReturnCategoryObject() /usr/local/zend/share/pear/PHPUnit/Framework/TestCase.php:918
[23-Nov-2011 15:11:46] PHP  14. Application_Service_Blog->findCategory() /var/www/site1/tests/application/services/BlogTest.php:14
[23-Nov-2011 15:11:46] PHP  15. Application_Model_Mapper_Category->__construct() /var/www/site1/application/services/Blog.php:45
[23-Nov-2011 15:11:46] PHP  16. Application_Model_DbTable_Category->__construct() /var/www/site1/application/models/mappers/Category.php:41
[23-Nov-2011 15:12:22] PHP Fatal error:  Call to a member function getResource() on a non-object in /var/www/site1/application/models/DbTable/Category.php on line 41
[23-Nov-2011 15:12:22] PHP Stack trace:
[23-Nov-2011 15:12:22] PHP   1. {main}() /usr/local/zend/bin/phpunit:0
[23-Nov-2011 15:12:22] PHP   2. PHPUnit_TextUI_Command::main() /usr/local/zend/bin/phpunit:44
[23-Nov-2011 15:12:22] PHP   3. PHPUnit_TextUI_Command->run() /usr/local/zend/share/pear/PHPUnit/TextUI/Command.php:125
[23-Nov-2011 15:12:22] PHP   4. PHPUnit_TextUI_TestRunner->doRun() /usr/local/zend/share/pear/PHPUnit/TextUI/Command.php:187
[23-Nov-2011 15:12:22] PHP   5. PHPUnit_Framework_TestSuite->run() /usr/local/zend/share/pear/PHPUnit/TextUI/TestRunner.php:325
[23-Nov-2011 15:12:22] PHP   6. PHPUnit_Framework_TestSuite->run() /usr/local/zend/share/pear/PHPUnit/Framework/TestSuite.php:705
[23-Nov-2011 15:12:22] PHP   7. PHPUnit_Framework_TestSuite->runTest() /usr/local/zend/share/pear/PHPUnit/Framework/TestSuite.php:745
[23-Nov-2011 15:12:22] PHP   8. PHPUnit_Framework_TestCase->run() /usr/local/zend/share/pear/PHPUnit/Framework/TestSuite.php:772
[23-Nov-2011 15:12:22] PHP   9. PHPUnit_Framework_TestResult->run() /usr/local/zend/share/pear/PHPUnit/Framework/TestCase.php:727
[23-Nov-2011 15:12:22] PHP  10. PHPUnit_Framework_TestCase->runBare() /usr/local/zend/share/pear/PHPUnit/Framework/TestResult.php:649
[23-Nov-2011 15:12:22] PHP  11. PHPUnit_Framework_TestCase->runTest() /usr/local/zend/share/pear/PHPUnit/Framework/TestCase.php:780
[23-Nov-2011 15:12:22] PHP  12. ReflectionMethod->invokeArgs() /usr/local/zend/share/pear/PHPUnit/Framework/TestCase.php:918
[23-Nov-2011 15:12:22] PHP  13. BlogTest->testThatFindCategoryMethodShouldReturnCategoryObject() /usr/local/zend/share/pear/PHPUnit/Framework/TestCase.php:918
[23-Nov-2011 15:12:22] PHP  14. Application_Service_Blog->findCategory() /var/www/site1/tests/application/services/BlogTest.php:14
[23-Nov-2011 15:12:22] PHP  15. Application_Model_Mapper_Category->__construct() /var/www/site1/application/services/Blog.php:45
[23-Nov-2011 15:12:22] PHP  16. Application_Model_DbTable_Category->__construct() /var/www/site1/application/models/mappers/Category.php:41
[23-Nov-2011 15:13:22] PHP Parse error:  syntax error, unexpected T_VARIABLE in /var/www/site1/tests/application/services/BlogTest.php on line 11
[23-Nov-2011 15:13:22] PHP Stack trace:
[23-Nov-2011 15:13:22] PHP   1. {main}() /usr/local/zend/bin/phpunit:0
